Zone,Exportations en kg,TAS,TDI,indice_stabilite_politique_2017,Consommation_moyenne_poulet_en_kg,population_2017,Valeur US $ par habitant
Afrique du Sud,63000000.0,24.268177525967893,-6299999923.567171,-0.28,38.25660997391394,57009756.0,6723.928582
Albanie,0.0,74.50980392156863,25.49019607843137,0.38,17.682736344506857,2884169.0,4521.752217
Algérie,0.0,0.7220216606498195,99.27797833935018,-0.92,6.692568921802261,41389189.0,4134.936055
Antigua-et-Barbuda,0.0,100.0,0.0,0.75,73.35527005218704,95426.0,16110.556281
Arabie saoudite,10000000.0,54.36746987951807,-999999953.961136,-0.64,40.421520937366004,33101179.0,20138.146333
Argentine,207000000.0,0.40774719673802245,-20699999900.368835,0.17,49.365980580438325,43937140.0,14609.78337
Arménie,0.0,76.08695652173914,23.91304347826087,-0.62,15.620802970397559,2944791.0,4041.995072
Australie,42000000.0,1.2872083668543846,-4199999901.2451367,0.9,52.26845076311938,24584620.0,57430.803788
Autriche,78000000.0,61.111111111111114,-7799999942.635658,1.05,29.252029019373346,8819901.0,47429.535841
Azerbaïdjan,0.0,20.610687022900763,79.38931297709924,-0.75,13.305814336151593,9845320.0,4057.624007
Bangladesh,820.0,0.0,-81900.0,-1.26,1.5593157707368457,159685424.0,1785.962903
Barbade,0.0,11.76470588235294,88.23529411764706,0.97,59.39238100561782,286232.0,17843.196496
Belize,0.0,0.0,100.0,0.04,53.22418826459873,375769.0,6101.585949
Bolivie (État plurinational de),1000000.0,0.18761726078799248,-99999900.18726592,-0.28,47.70900721933769,11192855.0,3280.01179
Bosnie-Herzégovine,8000000.0,15.873015873015872,-799999914.0845071,-0.35,21.184386212246665,3351525.0,5255.95028
Bélarus,152000000.0,6.325301204819277,-15199999904.338842,-0.05,51.21567927810442,9450231.0,5637.218565
Bénin,0.0,87.2340425531915,12.76595744680851,0.03,12.61722611089307,11175198.0,1095.274459
Cameroun,0.0,0.0,100.0,-1.1,3.2972302899205745,24566073.0,1479.862223
Canada,163000000.0,12.674094707520892,-16299999911.382114,1.1,43.53141305988673,36732095.0,45125.109808
Chili,115000000.0,20.611702127659576,-11499999917.877739,0.42,46.939869702068265,18470439.0,15081.989132
Chine - RAS de Macao,0.0,88.46153846153845,11.538461538461538,1.43,41.761365917906794,622585.0,78985.632295
Chypre,1000000.0,36.84210526315789,-99999935.8974359,0.54,33.05986887947389,1179678.0,18987.256286
Colombie,2000000.0,4.7560975609756095,-199999904.75030452,-0.77,33.57197720483194,48909839.0,6450.319585
Costa Rica,3000000.0,11.564625850340136,-299999911.3333333,0.61,30.30331190956522,4949954.0,12118.133618
Croatie,17000000.0,35.294117647058826,-1699999928.2352943,0.69,20.321038945390676,4182857.0,13434.533984
Danemark,139000000.0,79.64071856287424,-13899999943.464052,0.87,53.38195627075747,5732274.0,57888.203513
Dominique,0.0,100.0,0.0,1.2,55.976937501749276,71458.0,7395.991648
El Salvador,2000000.0,10.666666666666668,-199999910.5263158,-0.26,23.79414557571344,6388126.0,3986.049014
Espagne,212000000.0,13.59416445623342,-21199999911.918606,0.28,36.8723437442253,46647428.0,28190.806667
Estonie,11000000.0,70.0,-1099999951.2195122,0.65,31.074966461774,1319390.0,20435.205904
Eswatini,0.0,25.0,75.0,-0.27,7.112343917390126,1124805.0,3822.79341
Fidji,0.0,11.538461538461538,88.46153846153845,0.62,29.63101409866444,877459.0,5825.224293
Finlande,12000000.0,12.030075187969924,-1199999911.0344827,1.08,26.309243199196715,5511371.0,46412.760009
Gabon,0.0,95.0,5.0,-0.1,38.744241031797884,2064823.0,6975.769483
Ghana,0.0,71.56398104265402,28.436018957345972,0.09,7.245514605807091,29121465.0,1998.626958
Grèce,29000000.0,26.68918918918919,-2899999924.3076925,-0.07,30.74899829224794,10569450.0,18690.624484
Guatemala,7000000.0,36.134453781512605,-699999935.4395604,-0.65,21.51939967969201,16914970.0,4322.031108
Géorgie,5000000.0,75.0,-499999969.86301374,-0.37,18.21031971334462,4008716.0,4306.234809
Honduras,1000000.0,5.88235294117647,-99999905.85365854,-0.56,21.741406019908975,9429013.0,2403.306094
Hongrie,210000000.0,17.008797653958943,-20999999910.526314,0.81,56.630012693961646,9729823.0,14619.783288
Indonésie,0.0,0.043440486533449174,99.95655951346654,-0.5,8.698249097245869,264650963.0,3839.785075
Iran (République islamique d'),45000000.0,0.2810304449648712,-4499999900.275229,-0.93,27.022376002404645,80673883.0,5960.707147
Irlande,93000000.0,85.34482758620689,-9299999947.368422,1.0,43.969647058378015,4753279.0,70491.993292
Islande,0.0,16.666666666666664,83.33333333333334,1.35,35.885918664565345,334393.0,71961.532039
Israël,3000000.0,0.0,-299999900.0,-0.89,76.29932041444724,8243848.0,42756.825063
Italie,183000000.0,7.892595606183889,-18299999906.86969,0.31,23.27202687042282,60673701.0,32694.406225
Jamaïque,1000000.0,19.62025316455696,-99999919.49685535,0.31,54.43624591214606,2920848.0,5273.149061
Jordanie,10000000.0,24.242424242424242,-999999923.3576642,-0.45,27.999631712873384,9785843.0,4053.539531
Kazakhstan,6000000.0,51.32743362831859,-599999950.4347826,0.03,19.081838354262793,18080019.0,9107.697679
Kirghizistan,0.0,78.125,21.875,-0.38,5.169851429778958,6189733.0,1258.390778
Koweït,4000000.0,72.4867724867725,-399999970.98445594,-0.05,47.582665018777895,4056099.0,29258.289476
Lettonie,20000000.0,76.78571428571429,-1999999956.5789473,0.46,38.952445726686065,1951097.0,15593.840393
Liban,4000000.0,17.80821917808219,-399999916.88311684,-1.63,11.291360657350756,6819373.0,8679.897422
Lituanie,68000000.0,46.808510638297875,-6799999927.160494,0.78,56.933718608258765,2845414.0,16443.298019
Luxembourg,1000000.0,110.00000000000001,-100000000.0,1.33,18.58390633711206,591910.0,110203.008207
Macédoine du Nord,1000000.0,97.5609756097561,-99999995.23809524,-0.25,20.172949419691488,2081996.0,5353.775388
Malaisie,44000000.0,3.8901601830663615,-4399999903.794642,0.12,57.61197217933295,31104646.0,9979.704757
Malte,0.0,69.23076923076923,30.76923076923077,1.25,29.684906138610245,437933.0,28122.28717
Maroc,1000000.0,0.3926701570680628,-99999900.39215687,-0.37,21.50008480589007,35581255.0,3336.528682
Maurice,0.0,4.0,96.0,0.97,39.54135195045627,1264499.0,10591.698261
Monténégro,0.0,66.66666666666666,33.33333333333333,-0.06,19.121586199313853,627563.0,7679.191234
Myanmar,0.0,0.18018018018018017,99.81981981981983,-1.08,31.189983283480252,53382523.0,1304.481669
Namibie,12000000.0,103.57142857142858,-1199999972.5,0.63,16.648401982325225,2402633.0,5450.334513
Nicaragua,0.0,4.026845637583892,95.9731543624161,-0.05,23.336506471730093,6384846.0,2127.277953
Niger,0.0,13.636363636363635,86.36363636363636,-1.27,1.0184062109447005,21602382.0,514.543477
Nigéria,0.0,0.0,100.0,-2.0,1.0530548744694672,190873244.0,1941.873934
Norvège,0.0,1.9417475728155338,98.05825242718447,1.17,19.447443378674198,5296326.0,75490.688444
Nouvelle-Zélande,23000000.0,0.4975124378109453,-2299999900.446429,1.6,47.63895794883661,4702034.0,43534.089383
Oman,16000000.0,107.6923076923077,-1599999994.7368422,0.75,28.504511857019654,4665928.0,17802.548365
Ouganda,0.0,0.0,100.0,-0.57,1.578950385686567,41166588.0,787.332281
Pakistan,4000000.0,0.1563721657544957,-399999900.1558846,-2.41,6.171051870798144,207906209.0,1558.080077
Panama,0.0,9.174311926605505,90.82568807339449,0.39,53.083092815787786,4106769.0,15185.978635
Paraguay,4000000.0,2.380952380952381,-399999902.17391306,0.0,6.698644441923554,6867061.0,6136.058354
Philippines,2000000.0,16.392363396971692,-199999916.3708087,-1.19,14.461896918812517,105172925.0,3077.434432
Portugal,44000000.0,20.551378446115287,-4399999918.510159,1.12,43.05766996577839,10288527.0,21475.355853
Pérou,1000000.0,3.937007874015748,-99999903.93442623,-0.26,48.49845908469637,31444298.0,6676.307788
Roumanie,69000000.0,31.13006396588486,-6899999927.137547,0.06,27.373605809595,19653969.0,10667.990723
République de Corée,6000000.0,14.138286893704851,-599999914.051282,0.39,19.081573531137163,51096415.0,31524.94267
République de Moldova,0.0,22.857142857142858,77.14285714285715,-0.32,17.24272135466701,4059684.0,3040.315517
République dominicaine,6000000.0,11.200000000000001,-599999911.023622,0.16,36.24048615898787,10513104.0,7513.497951
Saint-Kitts-et-Nevis,0.0,100.0,0.0,0.65,76.85656643289461,52045.0,22160.60363
Sainte-Lucie,1520.0,90.92165462863959,-151990.9090909091,0.99,60.78892978325983,180954.0,11270.8092
Samoa,0.0,100.0,0.0,1.18,87.02240058970474,195352.0,4246.467778
Serbie,7000000.0,13.333333333333334,-699999912.371134,0.09,10.985740282603071,8829628.0,5918.256598
Slovaquie,35000000.0,63.63636363636363,-3499999947.0149255,0.91,24.59663356522697,5447900.0,17584.598912
Slovénie,29000000.0,31.746031746031743,-2899999921.7391305,0.87,44.30758324287202,2076394.0,23155.397106
Sri Lanka,2000000.0,0.0,-199999900.0,-0.07,9.08745310495554,21128032.0,4065.135897
Suisse,4000000.0,36.95652173913043,-399999935.91549295,1.26,16.793199085503876,8455804.0,83353.597567
Suriname,5000000.0,78.26086956521739,-499999964.28571427,0.13,49.080098721112854,570496.0,5774.654844
Suède,23000000.0,38.53211009174312,-2299999934.854772,0.98,24.331401359489288,9904896.0,53788.877499
Sénégal,0.0,0.0,100.0,-0.05,4.993723797136781,15419355.0,1385.199669
Tadjikistan,30.0,95.00007125005344,-2995.0,-0.67,4.50436856184971,8880268.0,844.36525
Tchéquie,27000000.0,46.03174603174603,-2699999941.5770607,1.0,26.219256512102113,10641034.0,20759.909712
Trinité-et-Tobago,0.0,27.380952380952383,72.61904761904762,0.28,60.69105435534179,1384059.0,16094.666782
Tunisie,4000000.0,0.0,-399999900.0,-1.02,18.62955891764187,11433443.0,3569.718839
Ukraine,273000000.0,11.425873465533522,-27299999909.084084,-1.87,29.940854000820767,44487709.0,2510.017662
Uruguay,3000000.0,9.090909090909092,-299999908.3333334,1.05,10.475344966203918,3436641.0,18769.787523
Viet Nam,1000000.0,24.089403973509935,-99999924.06947891,0.23,12.780039307975988,94600648.0,2992.071534
Yémen,0.0,31.70731707317073,68.29268292682927,-2.94,8.837851613118088,27834819.0,612.353054
Zambie,1000000.0,20.0,-99999919.67213114,0.15,3.6194049710094562,16853599.0,1495.437665
Égypte,1000000.0,8.964955175224123,-99999908.95765473,-1.42,12.732963592817617,96442591.0,1917.049576
Émirats arabes unis,94000000.0,111.88630490956074,-9399999990.02079,0.62,50.699874346527636,9487203.0,42522.377617
Équateur,0.0,0.0,100.0,-0.07,20.255745467732268,16785361.0,6246.404252
Îles Salomon,0.0,100.0,0.0,0.2,9.433383801936674,636039.0,2283.581124
